Thermo Fisher Scientific,http://www.thermofisher.com/
American Electric Power,http://www.AEP.com/
PG&E Corp.,http://www.pge.com
Bristol-Myers Squibb,http://www.bms.com/
Goodyear Tire & Rubber,http://goodyear.com
Nucor,http://www.nucor.com
PNC Financial Services Group,http://www.pnc.com/
Health Net,http://www.healthnet.com
Micron Technology,https://www.micron.com
Colgate-Palmolive,http://www.colgatepalmolive.com
Freeport-McMoRan,http://www.fcx.com
ConAgra Foods,http://www.conagrafoods.com/
Baker Hughes,http://www.bakerhughes.com
Bank of New York Mellon Corp.,https://www.bnymellon.com/
Dollar Tree,http://www.dollartree.com
PPG Industries,http://www.ppg.com
Genuine Parts,http://www.genpt.com
Icahn Enterprises,http://www.ielp.com
Omnicom Group,http://www.omnicomgroup.com
DISH Network,http://www.dish.com/
FirstEnergy,http://www.firstenergycorp.com
Monsanto,http://www.monsanto.com/
CarMax,http://www.carmax.com/
National Oilwell Varco,http://www.nov.com/
NRG Energy,http://www.nrg.com
Western Digital,http://www.wdc.com
Marriott International,http://marriott.com
Office Depot,http://officedepot.com
Nordstrom,http://nordstrom.com
Kinder Morgan,http://www.kindermorgan.com
Aramark,http://www.aramark.com/
